iso3,year,month,observed
COL,2017,7,19138.1428571429
COL,2017,8,18890.1428571429
COL,2017,9,18350.2857142857
COL,2017,10,19031.2857142857
COL,2017,11,18399.1428571429
COL,2017,12,19303.5714285714
COL,2018,1,20853.8571428571
COL,2018,2,17273.4285714286
COL,2018,3,19512.7142857143
COL,2018,4,18642.7142857143
COL,2018,5,20342.4285714286
COL,2018,6,20571.8571428571
COL,2018,7,20612.1428571429
COL,2018,8,19963.4285714286
COL,2018,9,18721.5714285714
COL,2018,10,19056
COL,2018,11,19016.4285714286
COL,2018,12,19767.4285714286
COL,2019,1,22557.2857142857
COL,2019,2,17785.7142857143
COL,2019,3,19699.2857142857
COL,2019,4,19093.5714285714
COL,2019,5,20146.7142857143
COL,2019,6,20532
COL,2019,7,21136.4285714286
COL,2019,8,20989
COL,2019,9,19530.1428571429
COL,2019,10,20373.8571428571
COL,2019,11,20154
COL,2019,12,19283
COL,2020,1,23817.8571428571
COL,2020,2,19432.1428571429
COL,2020,3,19722.2857142857
COL,2020,4,18466.8571428571
COL,2020,5,20551.7142857143
COL,2020,6,24491
COL,2020,7,32477.7142857143
COL,2020,8,32698.5714285714
COL,2020,9,27097.7142857143
COL,2020,10,27519.1428571429
COL,2020,11,26845.8571428572
COL,2020,12,32988.1428571429
COL,2021,1,33901.4285714286
COL,2021,2,24811.7142857143
COL,2021,3,25522.8571428571
COL,2021,4,34984
COL,2021,5,40568.4285714286
COL,2021,6,44255.5714285714
COL,2021,7,37827
COL,2021,8,25430.5714285714
COL,2021,9,21850.7142857143
COL,2021,10,22457.8571428571
COL,2021,11,22652
COL,2021,12,26070.8571428571
CYP,2015,1,717
CYP,2015,2,563
CYP,2015,3,567
CYP,2015,4,511.285714285714
CYP,2015,5,426
CYP,2015,6,432.428571428571
CYP,2015,7,470.428571428572
CYP,2015,8,449.428571428571
CYP,2015,9,433.428571428571
CYP,2015,10,406
CYP,2015,11,459.142857142857
CYP,2015,12,547.857142857143
CYP,2016,1,629.031502226243
CYP,2016,2,639.425754969583
CYP,2016,3,591.038716336795
CYP,2016,4,565.411506986837
CYP,2016,5,528.493988622561
CYP,2016,6,502.687568018408
CYP,2016,7,524.730552284456
CYP,2016,8,538.171396349119
CYP,2016,9,520.787904692155
CYP,2016,10,521.863172217328
CYP,2016,11,589.24660379484
CYP,2016,12,683.511723501678
CYP,2017,1,805.201951862373
CYP,2017,2,721.94979261541
CYP,2017,3,646.61871259777
CYP,2017,4,559.971805109669
CYP,2017,5,532.328855146114
CYP,2017,6,479.952739425695
CYP,2017,7,544.452956007322
CYP,2017,8,468.475257277084
CYP,2017,9,454.249645599933
CYP,2017,10,511.313746986687
CYP,2017,11,501.61446629772
CYP,2017,12,573.550798074222
CYP,2018,1,652.376433018307
CYP,2018,2,657.864177675356
CYP,2018,3,615.126287467427
CYP,2018,4,605.813751079707
CYP,2018,5,525.493124735623
CYP,2018,6,470.449382872493
CYP,2018,7,530.149392929483
CYP,2018,8,543.951902218425
CYP,2018,9,500.881421425221
CYP,2018,10,526.823487076726
CYP,2018,11,560.248840896935
CYP,2018,12,560.082545604297
CYP,2019,1,715
CYP,2019,2,582
CYP,2019,3,561.428571428572
CYP,2019,4,519.428571428572
