source,coverage,iso3,year,month,age,age_cat,sex,deaths
STMF,National,AUT,2013,9,0,0-14,Both,42
STMF,National,AUT,2013,10,0,0-14,Both,32
STMF,National,AUT,2013,11,0,0-14,Both,31
STMF,National,AUT,2013,12,0,0-14,Both,39
STMF,National,AUT,2013,999,0,0-14,Both,381
STMF,National,AUT,2014,1,0,0-14,Both,22
STMF,National,AUT,2014,2,0,0-14,Both,36
STMF,National,AUT,2014,3,0,0-14,Both,35
STMF,National,AUT,2014,4,0,0-14,Both,29
STMF,National,AUT,2014,5,0,0-14,Both,31
STMF,National,AUT,2014,6,0,0-14,Both,38
STMF,National,AUT,2014,7,0,0-14,Both,28
STMF,National,AUT,2014,8,0,0-14,Both,22
STMF,National,AUT,2014,9,0,0-14,Both,40
STMF,National,AUT,2014,10,0,0-14,Both,27
STMF,National,AUT,2014,11,0,0-14,Both,24
STMF,National,AUT,2014,12,0,0-14,Both,44
STMF,National,AUT,2014,999,0,0-14,Both,376
STMF,National,AUT,2015,1,0,0-14,Both,30
STMF,National,AUT,2015,2,0,0-14,Both,33
STMF,National,AUT,2015,3,0,0-14,Both,36
STMF,National,AUT,2015,4,0,0-14,Both,33
STMF,National,AUT,2015,5,0,0-14,Both,27
STMF,National,AUT,2015,6,0,0-14,Both,33
STMF,National,AUT,2015,7,0,0-14,Both,15
STMF,National,AUT,2015,8,0,0-14,Both,32
STMF,National,AUT,2015,9,0,0-14,Both,27
STMF,National,AUT,2015,10,0,0-14,Both,34
STMF,National,AUT,2015,11,0,0-14,Both,27
STMF,National,AUT,2015,12,0,0-14,Both,40
STMF,National,AUT,2015,999,0,0-14,Both,367
STMF,National,AUT,2016,1,0,0-14,Both,25
STMF,National,AUT,2016,2,0,0-14,Both,45
STMF,National,AUT,2016,3,0,0-14,Both,22
STMF,National,AUT,2016,4,0,0-14,Both,32
STMF,National,AUT,2016,5,0,0-14,Both,42
STMF,National,AUT,2016,6,0,0-14,Both,24
STMF,National,AUT,2016,7,0,0-14,Both,24
STMF,National,AUT,2016,8,0,0-14,Both,28
STMF,National,AUT,2016,9,0,0-14,Both,24
STMF,National,AUT,2016,10,0,0-14,Both,38
STMF,National,AUT,2016,11,0,0-14,Both,35
STMF,National,AUT,2016,12,0,0-14,Both,35
STMF,National,AUT,2016,999,0,0-14,Both,374
STMF,National,AUT,2017,1,0,0-14,Both,31
STMF,National,AUT,2017,2,0,0-14,Both,35
STMF,National,AUT,2017,3,0,0-14,Both,25
STMF,National,AUT,2017,4,0,0-14,Both,30
STMF,National,AUT,2017,5,0,0-14,Both,33
STMF,National,AUT,2017,6,0,0-14,Both,35
STMF,National,AUT,2017,7,0,0-14,Both,32
STMF,National,AUT,2017,8,0,0-14,Both,29
STMF,National,AUT,2017,9,0,0-14,Both,31
STMF,National,AUT,2017,10,0,0-14,Both,31
STMF,National,AUT,2017,11,0,0-14,Both,28
STMF,National,AUT,2017,12,0,0-14,Both,29
STMF,National,AUT,2017,999,0,0-14,Both,369
STMF,National,AUT,2018,1,0,0-14,Both,26
STMF,National,AUT,2018,2,0,0-14,Both,30
STMF,National,AUT,2018,3,0,0-14,Both,31
STMF,National,AUT,2018,4,0,0-14,Both,28
STMF,National,AUT,2018,5,0,0-14,Both,28
STMF,National,AUT,2018,6,0,0-14,Both,23
STMF,National,AUT,2018,7,0,0-14,Both,36
STMF,National,AUT,2018,8,0,0-14,Both,17
STMF,National,AUT,2018,9,0,0-14,Both,30
STMF,National,AUT,2018,10,0,0-14,Both,22
STMF,National,AUT,2018,11,0,0-14,Both,31
STMF,National,AUT,2018,12,0,0-14,Both,29
STMF,National,AUT,2018,999,0,0-14,Both,331
STMF,National,AUT,2019,1,0,0-14,Both,32
STMF,National,AUT,2019,2,0,0-14,Both,29
STMF,National,AUT,2019,3,0,0-14,Both,32
STMF,National,AUT,2019,4,0,0-14,Both,34
STMF,National,AUT,2019,5,0,0-14,Both,30
STMF,National,AUT,2019,6,0,0-14,Both,32
STMF,National,AUT,2019,7,0,0-14,Both,44
STMF,National,AUT,2019,8,0,0-14,Both,32
STMF,National,AUT,2019,9,0,0-14,Both,31
STMF,National,AUT,2019,10,0,0-14,Both,24
STMF,National,AUT,2019,11,0,0-14,Both,14
STMF,National,AUT,2019,12,0,0-14,Both,33
STMF,National,AUT,2019,999,0,0-14,Both,367
STMF,National,AUT,2020,1,0,0-14,Both,34
STMF,National,AUT,2020,2,0,0-14,Both,25
STMF,National,AUT,2020,3,0,0-14,Both,43
STMF,National,AUT,2020,4,0,0-14,Both,26
STMF,National,AUT,2020,5,0,0-14,Both,23
STMF,National,AUT,2020,6,0,0-14,Both,25
STMF,National,AUT,2020,7,0,0-14,Both,25
STMF,National,AUT,2020,8,0,0-14,Both,37
STMF,National,AUT,2020,9,0,0-14,Both,22
STMF,National,AUT,2020,10,0,0-14,Both,34
STMF,National,AUT,2020,11,0,0-14,Both,31
STMF,National,AUT,2020,12,0,0-14,Both,37
STMF,National,AUT,2020,999,0,0-14,Both,362
STMF,National,AUT,2021,1,0,0-14,Both,18
STMF,National,AUT,2021,2,0,0-14,Both,26
STMF,National,AUT,2021,3,0,0-14,Both,32
STMF,National,AUT,2021,4,0,0-14,Both,21
STMF,National,AUT,2021,5,0,0-14,Both,27
STMF,National,AUT,2021,6,0,0-14,Both,20
STMF,National,AUT,2021,7,0,0-14,Both,26
STMF,National,AUT,2021,8,0,0-14,Both,32
STMF,National,AUT,2021,9,0,0-14,Both,21
STMF,National,AUT,2021,10,0,0-14,Both,24
STMF,National,AUT,2021,11,0,0-14,Both,28
STMF,National,AUT,2021,12,0,0-14,Both,26
STMF,National,AUT,2021,999,0,0-14,Both,301
STMF,National,AUT,2022,1,0,0-14,Both,33
STMF,National,AUT,2022,2,0,0-14,Both,23.2256120746267
STMF,National,AUT,2022,999,0,0-14,Both,56.2256120746267
STMF,National,AUT,2011,1,0,0-14,Female,13
STMF,National,AUT,2011,2,0,0-14,Female,18
STMF,National,AUT,2011,3,0,0-14,Female,11
STMF,National,AUT,2011,4,0,0-14,Female,8
STMF,National,AUT,2011,5,0,0-14,Female,18
STMF,National,AUT,2011,6,0,0-14,Female,10
STMF,National,AUT,2011,7,0,0-14,Female,14
STMF,National,AUT,2011,8,0,0-14,Female,14
STMF,National,AUT,2011,9,0,0-14,Female,11
STMF,National,AUT,2011,10,0,0-14,Female,15
STMF,National,AUT,2011,11,0,0-14,Female,13
STMF,National,AUT,2011,12,0,0-14,Female,16
STMF,National,AUT,2011,999,0,0-14,Female,161
STMF,National,AUT,2012,1,0,0-14,Female,17
STMF,National,AUT,2012,2,0,0-14,Female,11
STMF,National,AUT,2012,3,0,0-14,Female,10
STMF,National,AUT,2012,4,0,0-14,Female,13
STMF,National,AUT,2012,5,0,0-14,Female,17
STMF,National,AUT,2012,6,0,0-14,Female,15
STMF,National,AUT,2012,7,0,0-14,Female,19
STMF,National,AUT,2012,8,0,0-14,Female,9
STMF,National,AUT,2012,9,0,0-14,Female,7
STMF,National,AUT,2012,10,0,0-14,Female,16
STMF,National,AUT,2012,11,0,0-14,Female,24
STMF,National,AUT,2012,12,0,0-14,Female,19
STMF,National,AUT,2012,999,0,0-14,Female,177
STMF,National,AUT,2013,1,0,0-14,Female,10
STMF,National,AUT,2013,2,0,0-14,Female,12
STMF,National,AUT,2013,3,0,0-14,Female,19
STMF,National,AUT,2013,4,0,0-14,Female,11
STMF,National,AUT,2013,5,0,0-14,Female,9
STMF,National,AUT,2013,6,0,0-14,Female,11
STMF,National,AUT,2013,7,0,0-14,Female,18
STMF,National,AUT,2013,8,0,0-14,Female,10
STMF,National,AUT,2013,9,0,0-14,Female,20
STMF,National,AUT,2013,10,0,0-14,Female,13
STMF,National,AUT,2013,11,0,0-14,Female,8
STMF,National,AUT,2013,12,0,0-14,Female,16
STMF,National,AUT,2013,999,0,0-14,Female,157
STMF,National,AUT,2014,1,0,0-14,Female,10
STMF,National,AUT,2014,2,0,0-14,Female,16
STMF,National,AUT,2014,3,0,0-14,Female,15
