iso3,year,month,adj.ac
CHE,2020,12,9794
CHE,2021,1,8007
CHE,2021,2,5544
CHE,2021,3,5703
CHE,2021,4,5459
CHE,2021,5,5490
CHE,2021,6,5133
CHE,2021,7,4794
CHE,2021,8,6390
CHE,2021,9,5381
CHE,2021,10,5315
CHE,2021,11,7606
CHE,2021,12,6697
CHL,2020,1,8985.91753163099
CHL,2020,2,7984.11012544406
CHL,2020,3,8737.1119769078
CHL,2020,4,8887.56919095502
CHL,2020,5,12284.8100535189
CHL,2020,6,15924.9870647394
CHL,2020,7,12533.4724519966
CHL,2020,8,11108.4951840365
CHL,2020,9,10239.2504612061
CHL,2020,10,10299.3760843268
CHL,2020,11,9387.75711282086
CHL,2020,12,9805.63019350958
CHL,2021,1,11189.5216190039
CHL,2021,2,10275.3258350785
CHL,2021,3,11872.3769101602
CHL,2021,4,12040.156029916
CHL,2021,5,12805.8987872315
CHL,2021,6,13595.5486375497
CHL,2021,7,13233.5064926159
CHL,2021,8,11268.9733352705
CHL,2021,9,10111.8414026885
CHL,2021,10,10301.5234280097
CHL,2021,11,10197.8783062492
CHL,2021,12,10774.2253507346
COL,2020,1,21666.8571428571
COL,2020,2,19432.1428571429
COL,2020,3,19722.2857142857
COL,2020,4,18466.8571428571
COL,2020,5,20551.7142857143
COL,2020,6,24491
COL,2020,7,32477.7142857143
COL,2020,8,32698.5714285714
COL,2020,9,27097.7142857143
COL,2020,10,27519.1428571429
COL,2020,11,26845.8571428572
COL,2020,12,30735.5714285714
COL,2021,1,36154
COL,2021,2,24811.7142857143
COL,2021,3,25522.8571428571
COL,2021,4,34984
COL,2021,5,40568.4285714286
COL,2021,6,44255.5714285714
COL,2021,7,37827
COL,2021,8,25754.1428571429
COL,2021,9,22236.7142857143
COL,2021,10,22943.4285714286
COL,2021,11,23232.5714285714
COL,2021,12,26009
CRI,2020,1,2160
CRI,2020,2,1914
CRI,2020,3,2003
CRI,2020,4,1881
CRI,2020,5,1862
CRI,2020,6,1857
CRI,2020,7,2059
CRI,2020,8,2273
CRI,2020,9,2536
CRI,2020,10,2467
CRI,2020,11,2300
CRI,2020,12,2897
CUB,2020,1,10076.5448011518
CUB,2020,2,9278.06065822356
CUB,2020,3,10181.180763902
CUB,2020,4,9478.18963552237
CUB,2020,5,8677.67372632713
